Rank,Change,Name,Position,College,Conference,State,Height,Weight,Position2,PositionGroup,PositionAspect,Date
1,--,Tua Tagovailoa,QB,Alabama,SEC,Alabama,"""6'1""""""",218,,QB,Off.,2019-05-21
2,--,Jerry Jeudy,WRF,Alabama,SEC,Alabama,"""6'1""""""",192,,WR,Off.,2019-05-21
3,--,Justin Herbert,QB,Oregon,Pac 12,Oregon,"""6'6""""""",225,,QB,Off.,2019-05-21
4,--,Chase Young,EDGE,Ohio State,Big Ten,Ohio,"""6'5""""""",265,,DL,Def.,2019-05-21
5,--,A.J. Epenesa,EDGE,Iowa,Big Ten,Iowa,"""6'5""""""",277,DL5T,DL,Def.,2019-05-21
6,--,Jake Fromm,QB,Georgia,SEC,Georgia,"""6'2""""""",220,,QB,Off.,2019-05-21
7,--,Grant Delpit,S,LSU,SEC,Louisiana,"""6'3""""""",203,,DB,Def.,2019-05-21
8,--,Walker Little,OT,Stanford,Pac 12,California,"""6'7""""""",313,,OL,Off.,2019-05-21
9,--,Laviska Shenault,WRF,Colorado,Pac 12,Colorado,"""6'2""""""",220,,WR,Off.,2019-05-21
10,--,Andrew Thomas,OT,Georgia,SEC,Georgia,"""6'5""""""",320,,OL,Off.,2019-05-21
11,--,Isaiah Simmons,OLB,Clemson,ACC,South Carolina,"""6'4""""""",225,S,LB,Def.,2019-05-21
12,--,Trey Smith,OT,Tennessee,SEC,Tennessee,"""6'6""""""",337,OG,OL,Off.,2019-05-21
13,--,Derrick Brown,DL3T,Auburn,SEC,Alabama,"""6'5""""""",318,DL1T,DL,Def.,2019-05-21
14,--,Dylan Moses,ILB,Alabama,SEC,Alabama,"""6'3""""""",233,,LB,Def.,2019-05-21
15,--,CeeDee Lamb,WRF,Oklahoma,Big 12,Oklahoma,"""6'2""""""",189,,WR,Off.,2019-05-21
16,--,C.J. Henderson,CB,Florida,SEC,Florida,"""6'1""""""",186,,DB,Def.,2019-05-21
17,--,Tee Higgins,WRF,Clemson,ACC,South Carolina,"""6'4""""""",200,,WR,Off.,2019-05-21
