Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-07-21,
2,+1,Justin Herbert,Oregon,QB,"6'6""",225,,2019-07-21,
3,+1,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-07-21,
4,+2,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-07-21,
5,+3,Derrick Brown,Auburn,DL3T,"6'5""",318,,2019-07-21,
6,+1,A.J. Epenesa,Iowa,DL5T,"6'6""",280,,2019-07-21,
7,-5,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-07-21,
8,-3,Grant Delpit,LSU,S,"6'3""",203,,2019-07-21,
9,+1,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-07-21,
10,-1,Walker Little,Stanford,OT,"6'7""",313,,2019-07-21,
11,--,Jake Fromm,Georgia,QB,"6'2""",220,,2019-07-21,
12,+4,Trey Adams,Washington,OT,"6'7""",315,,2019-07-21,
13,+11,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-07-21,
14,--,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-07-21,
15,--,C.J. Henderson,Florida,CB,"6'1""",186,,2019-07-21,
16,-4,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-07-21,
17,+2,Albert Okwuegbunam,Missouri,TE,"6'5""",255,,2019-07-21,
18,+3,Dylan Moses,Alabama,ILB,"6'3""",233,,2019-07-21,
19,-6,Isaiah Simmons,Clemson,OLB,"6'4""",225,,2019-07-21,
20,+85,Alaric Jackson,Iowa,OT,"6'6""",320,,2019-07-21,
21,-3,Jalen Reagor,TCU,WRS,"5'11""",195,,2019-07-21,
22,-5,Nick Coe,Auburn,DL5T,"6'5""",282,,2019-07-21,
23,+2,Kristian Fulton,LSU,CB,"6'0""",192,,2019-07-21,
24,-4,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-07-21,
25,+1,Xavier McKinney,Alabama,S,"6'1""",196,,2019-07-21,
26,+3,J.K. Dobbins,Ohio State,RBF,"5'10""",214,,2019-07-21,
27,-5,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-07-21,
28,-1,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-07-21,
29,-1,Bryce Hall,Virginia,CB,"6'1""",200,,2019-07-21,
30,--,Tylan Wallace,Oklahoma State,WRF,"6'0""",185,,2019-07-21,
31,+51,D'Andre Swift,Georgia,RBC,"5'9""",215,,2019-07-21,
32,+1,Trevon Diggs,Alabama,CB,"6'2""",200,,2019-07-21,
33,-1,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-07-21,
34,-3,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-07-21,
35,+8,Jacob Eason,Washington,QB,"6'6""",228,,2019-07-21,
36,+1,Jaylon Johnson,Utah,CB,"6'0""",190,,2019-07-21,
37,-14,Calvin Throckmorton,Oregon,OT,"6'5""",318,,2019-07-21,
38,+3,Michael Divinity Jr.,LSU,OLB,"6'2""",238,,2019-07-21,
39,-4,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,,2019-07-21,
40,+6,Kenny Willekes,Michigan State,EDGE,"6'4""",260,,2019-07-21,
41,-2,T.J. McCoy,Louisville,OC,"6'1""",315,,2019-07-21,
42,+2,Jacob Phillips,LSU,ILB,"6'4""",229,,2019-07-21,
43,-1,Shaquille Quarterman,Miami (FL),ILB,"6'1""",240,,2019-07-21,
44,-10,Trey Smith,Tennessee,OT,"6'6""",337,,2019-07-21,
45,-7,LaBryan Ray,Alabama,DL5T,"6'5""",285,,2019-07-21,
46,+4,Rashard Lawrence,LSU,DL1T,"6'3""",317,,2019-07-21,
47,-11,Donovan Peoples-Jones,Michigan,WRF,"6'2""",208,,2019-07-21,
48,-8,Richard LeCounte,Georgia,S,"5'11""",190,,2019-07-21,
49,+5,Shea Patterson,Michigan,QB,"6'2""",200,,2019-07-21,
50,+52,Colby Parkinson,Stanford,TE,"6'7""",240,,2019-07-21,
51,-3,Collin Johnson,Texas,WRF,"6'6""",220,,2019-07-21,
52,-3,Tommy Kraemer,Notre Dame,OG,"6'6""",319,,2019-07-21,
53,+4,Anfernee Jennings,Alabama,EDGE,"6'3""",259,,2019-07-21,
54,+8,Michael Pinckney,Miami (FL),OLB,"6'1""",220,,2019-07-21,
55,-4,Eno Benjamin,Arizona State,RBF,"5'10""",201,,2019-07-21,
56,+107,Tristan Wirfs,Iowa,OT,"6'5""",320,,2019-07-21,
57,+1,Brandon Jones,Texas,S,"6'0""",210,,2019-07-21,
58,+8,Ben Bredeson,Michigan,OG,"6'5""",320,,2019-07-21,
59,-6,Khalid Kareem,Notre Dame,EDGE,"6'4""",265,,2019-07-21,
60,+14,Julian Okwara,Notre Dame,EDGE,"6'5""",241,,2019-07-21,
61,+6,Tarik Black,Michigan,WRF,"6'3""",215,,2019-07-21,
62,-15,T.J. Vasher,Texas Tech,WRF,"6'6""",190,,2019-07-21,
63,-2,A.J. Terrell,Clemson,CB,"6'2""",190,,2019-07-21,
64,+11,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,,2019-07-21,
65,-5,Najee Harris,Alabama,RBF,"6'2""",230,,2019-07-21,
66,+31,Marlon Davidson,Auburn,DL5T,"6'3""",278,,2019-07-21,
67,+5,Lavert Hill,Michigan,CB,"5'11""",181,,2019-07-21,
68,-9,J.R. Reed,Georgia,S,"6'1""",194,,2019-07-21,
69,-6,Darryl Williams,Mississippi State,OC,"6'2""",310,,2019-07-21,
70,+1,Curtis Weaver,Boise State,EDGE,"6'3""",266,,2019-07-21,
71,-7,Steven Montez,Colorado,QB,"6'5""",230,,2019-07-21,
72,-20,Mekhi Becton,Louisville,OT,"6'7""",355,,2019-07-21,
73,+13,Anthony Hines,Texas A&M,OLB,"6'3""",226,,2019-07-21,
74,-5,K.J. Hill,Ohio State,WRF,"6'0""",195,,2019-07-21,
75,-7,Zack Moss,Utah,RBF,"5'10""",210,,2019-07-21,
76,+4,Malik Harrison,Ohio State,ILB,"6'3""",245,,2019-07-21,
77,+32,Grant Calcaterra,Oklahoma,TE,"6'4""",221,,2019-07-21,
78,-5,Willie Gay Jr.,Mississippi State,OLB,"6'2""",235,,2019-07-21,
79,+13,Marvin Wilson,Florida State,DL1T,"6'5""",314,,2019-07-21,
80,+1,Cam Akers,Florida State,RBF,"5'11""",210,,2019-07-21,
81,-3,Jordan Fuller,Ohio State,S,"6'2""",205,,2019-07-21,
82,-27,Liam Eichenberg,Notre Dame,OT,"6'6""",305,,2019-07-21,
83,+25,Glen Logan,LSU,DL5T,"6'4""",297,,2019-07-21,
84,-14,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-07-21,
85,-9,Alton Robinson,Syracuse,EDGE,"6'4""",257,,2019-07-21,
86,-9,Troy Dye,Oregon,ILB,"6'4""",224,,2019-07-21,
87,NEW,Ty Chandler,Tennessee,RBF,"5'11""",201,,2019-07-21,
88,-4,K.J. Costello,Stanford,QB,"6'5""",215,,2019-07-21,
89,+25,J.J. Taylor,Arizona,RBC,"5'6""",184,,2019-07-21,
90,-5,Dontavious Jackson,Florida State,ILB,"6'3""",233,,2019-07-21,
91,-1,Shyheim Carter,Alabama,CB,"6'0""",195,,2019-07-21,
92,-5,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,,2019-07-21,
93,-14,DeVonta Smith,Alabama,WRF,"6'1""",193,,2019-07-21,
94,-38,Alex Leatherwood,Alabama,OG,"6'6""",304,,2019-07-21,
95,+33,Jared Pinkney,Vanderbilt,TE,"6'4""",255,,2019-07-21,
96,-1,K'Lavon Chaisson,LSU,OLB,"6'4""",238,,2019-07-21,
97,-6,A.J. Dillon,Boston College,RBF,"6'0""",245,,2019-07-21,
98,--,Marquez Callaway,Tennessee,WRF,"6'2""",200,,2019-07-21,
99,+1,Kenneth Murray,Oklahoma,OLB,"6'2""",238,,2019-07-21,
100,NEW,Brycen Hopkins,Purdue,TE,"6'5""",245,,2019-07-21,
101,-5,David Dowell,Michigan State,S,"6'1""",205,,2019-07-21,
102,NEW,Nick Harris,Washington,OC,"6'1""",302,,2019-07-21,
103,--,Joe Bachie,Michigan State,ILB,"6'2""",238,,2019-07-21,
104,+8,Darrell Taylor,Tennessee,EDGE,"6'4""",247,,2019-07-21,
105,-11,Paddy Fisher,Northwestern,ILB,"6'4""",241,,2019-07-21,
106,-2,Jon Runyan,Michigan,OG,"6'5""",310,,2019-07-21,
107,-1,Mike Hampton,South Florida,CB,"6'1""",180,,2019-07-21,
108,+2,Tuf Borland,Ohio State,ILB,"6'1""",230,,2019-07-21,
109,+34,Shane Lemieux,Oregon,OG,"6'4""",317,,2019-07-21,
